image_id,obs_day,obs_hour,obs_min,obs_sec,image_category,width,height,aspect_ratio,description1,description2,camera_make,camera_model,iso,aperture_value,focal_length,exposure_time,total_days,stats_downloads,high_word_count,high_color_count,high_weighted_word_count
68105c019b,Thursday,15,13,10,1,2592,1728,1.5,Pristine water lily,rule of thirds photography of pink and white lotus flower floating on body of water,canon,Canon EOS 60D,200.0,14.0,50.0,0.0166666666666666,2361,167503,5,2,8832.250314733397
06d11c4edd,Wednesday,21,59,51,1,4000,6000,0.67,,sand in desert,sony,ILCE-6500,100.0,2.5,30.0,0.0008,1255,1839,9,1,6191.691848770776
f6599edba1,Tuesday,4,10,11,1,5504,8256,0.67,,green trees near brown mountain during daytime,nikon,NIKON D850,64.0,2.8,48.0,0.000625,1138,787,14,1,6538.207977050326
0f4bcc2d36,Monday,23,46,21,1,3627,2040,1.78,,gray dock aerial photography,dji,FC220,139.0,2.2,4.7,0.01,1579,2049,19,0,6583.102732693243
74db502ed5,Saturday,11,4,20,1,4896,3264,1.5,,people walking on green grass field near lake under blue sky during daytime,fujifilm,X-T10,400.0,6.4,22.2,0.0023809523809523,1050,2982,21,6,6933.679792420773
6fe4f5d191,Saturday,20,51,28,1,4000,2667,1.5,"""Cool Blue"" Sunset at Pacific City, Oregon.",brown rock formation on sea during daytime,canon,Canon EOS 6D,100.0,14.0,29.0,13.0,1127,2143,22,2,6620.5104052134875
c52f60b513,Sunday,23,28,34,1,5792,8688,0.67,,black dog on wood,canon,Canon EOS 5DS,50.0,1.4,50.0,0.0004,1279,476,5,0,5751.102392822703
b259831c25,Thursday,3,55,45,1,3691,5529,0.67,,seal on rock during daytime,nikon,NIKON D750,400.0,4.0,120.0,0.002,1080,13316,9,0,6371.251886741182
a13c363cf6,Tuesday,19,32,25,1,5568,3712,1.5,light colored succulent in an arrangement,green and red flowers,nikon,NIKON D500,160.0,2.2,30.0,0.0005,1222,1751,2,0,5853.13122431425
dd1acd2cdc,Wednesday,0,18,53,1,3394,2263,1.5,moon,full moon,sony,ILCE-6300,125.0,8.0,300.0,0.0025,1158,4191,19,0,6595.123452146123
07bbe73944,Friday,12,26,54,1,2754,4000,0.69,"Close up of an Australian Waterdragon sunning itself in golden hour on dry shrub land. Nature, wildlife, dragon, lizard",brown and grey lizard on grass,nikon,NIKON D5300,560.0,5.6,200.0,0.004,1177,1061,3,3,6366.0769318168905
a9571cba01,Sunday,16,16,39,1,6000,4000,1.5,Sunlit roots in the woods,,fujifilm,X-Pro2,800.0,5.6,35.0,0.008,2344,7903,9,0,8236.500920292943
7be037a635,Thursday,0,59,44,1,2111,3256,0.65,,bare trees with snow,google,Pixel 2 XL,73.0,1.8,4.5,0.008,1479,2596,9,0,6253.698313881145
914e6790a3,Wednesday,18,34,27,1,5760,3840,1.5,white little floret,white petaled flower,canon,Canon EOS 5D Mark III,100.0,2.8,100.0,0.0025,1718,2225,6,1,8489.574044095525
f76411adbd,Saturday,17,20,15,1,4160,3120,1.33,#helicopter #dragonfly #insects #nature #rays #sunset #wings,brown dragonfly perching on grass,xiaomi,Mi-4c,100.0,2.0,4.1,0.0003812428516965,1288,2749,6,0,6292.151574959983
eeeed96113,Wednesday,0,11,0,1,5472,3648,1.5,,man standing on dessert land,canon,Canon EOS 7D Mark II,400.0,22.0,18.0,0.0333333333333333,1480,1539,10,0,6137.3915723874115
